FL_DATE,OP_UNIQUE_CARRIER,OP_CARRIER_FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_NM,DEST_AIRPORT_ID,DEST,DEST_CITY_NAME,DEST_STATE_NM,DEP_TIME,DEP_DELAY,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,ARR_TIME,ARR_DELAY,CANCELLED,DIVERTED,ACTUAL_ELAPSED_TIME,AIR_TIME,DISTANCE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
43101,WN,137,10257,ALB,"Albany, NY",New York,10821,BWI,"Baltimore, MD",Maryland,1013,-7,7,1020,1118,5,1123,-17,0,0,70,58,289,,,,,
43101,WN,566,10257,ALB,"Albany, NY",New York,10821,BWI,"Baltimore, MD",Maryland,1832,52,8,1840,1937,2,1939,39,0,0,67,57,289,5,0,0,0,34
43101,WN,1565,10257,ALB,"Albany, NY",New York,10821,BWI,"Baltimore, MD",Maryland,544,-1,10,554,650,6,656,-14,0,0,72,56,289,,,,,
43101,WN,1625,10257,ALB,"Albany, NY",New York,10821,BWI,"Baltimore, MD",Maryland,830,-5,6,836,934,7,941,-14,0,0,71,58,289,,,,,
43101,WN,6247,10257,ALB,"Albany, NY",New York,10821,BWI,"Baltimore, MD",Maryland,1600,0,6,1606,1702,4,1706,-14,0,0,66,56,289,,,,,
43101,WN,127,10257,ALB,"Albany, NY",New York,11697,FLL,"Fort Lauderdale, FL",Florida,744,-1,18,802,1056,5,1101,1,0,0,197,174,1204,,,,,
43101,WN,1969,10257,ALB,"Albany, NY",New York,13204,MCO,"Orlando, FL",Florida,658,-2,18,716,1006,6,1012,7,0,0,194,170,1073,,,,,
43101,WN,5970,10257,ALB,"Albany, NY",New York,13204,MCO,"Orlando, FL",Florida,1419,24,11,1430,1720,5,1725,30,0,0,186,170,1073,24,0,6,0,0
43101,WN,2003,10257,ALB,"Albany, NY",New York,15304,TPA,"Tampa, FL",Florida,1405,95,8,1413,1719,3,1722,102,0,0,197,186,1130,8,0,7,0,87
43101,WN,170,10397,ATL,"Atlanta, GA",Georgia,10721,BOS,"Boston, MA",Massachusetts,2109,14,10,2119,2317,6,2323,-7,0,0,134,118,946,,,,,
43101,WN,1633,10397,ATL,"Atlanta, GA",Georgia,10721,BOS,"Boston, MA",Massachusetts,1818,198,29,1847,2047,6,2053,208,0,0,155,120,946,198,0,10,0,0
43101,WN,1726,10397,ATL,"Atlanta, GA",Georgia,10721,BOS,"Boston, MA",Massachusetts,1350,215,10,1400,1556,5,1601,191,0,0,131,116,946,0,0,0,0,191
43101,WN,418,10397,ATL,"Atlanta, GA",Georgia,10821,BWI,"Baltimore, MD",Maryland,2332,112,15,2347,102,4,106,96,0,0,94,75,577,96,0,0,0,0
43101,WN,887,10397,ATL,"Atlanta, GA",Georgia,10821,BWI,"Baltimore, MD",Maryland,1821,41,10,1831,1947,8,1955,30,0,0,94,76,577,12,0,0,0,18
43101,WN,941,10397,ATL,"Atlanta, GA",Georgia,10821,BWI,"Baltimore, MD",Maryland,608,3,9,617,731,3,734,-16,0,0,86,74,577,,,,,
43101,WN,1326,10397,ATL,"Atlanta, GA",Georgia,10821,BWI,"Baltimore, MD",Maryland,1908,8,10,1918,2034,18,2052,7,0,0,104,76,577,,,,,
43101,WN,1517,10397,ATL,"Atlanta, GA",Georgia,10821,BWI,"Baltimore, MD",Maryland,1403,33,15,1418,1536,3,1539,29,0,0,96,78,577,3,0,0,0,26
43101,WN,2020,10397,ATL,"Atlanta, GA",Georgia,10821,BWI,"Baltimore, MD",Maryland,1119,14,12,1131,1246,2,1248,-7,0,0,89,75,577,,,,,
43101,WN,5530,10397,ATL,"Atlanta, GA",Georgia,10821,BWI,"Baltimore, MD",Maryland,2039,19,11,2050,2206,2,2208,3,0,0,89,76,577,,,,,
43101,WN,210,10397,ATL,"Atlanta, GA",Georgia,11278,DCA,"Washington, DC",Virginia,1221,1,24,1245,1400,8,1408,8,0,0,107,75,547,,,,,
43101,WN,612,10397,ATL,"Atlanta, GA",Georgia,11278,DCA,"Washington, DC",Virginia,2123,58,8,2131,2244,4,2248,33,0,0,85,73,547,25,0,0,0,8
43101,WN,1237,10397,ATL,"Atlanta, GA",Georgia,11278,DCA,"Washington, DC",Virginia,1704,74,16,1720,1844,5,1849,79,0,0,105,84,547,0,0,78,0,1
43101,WN,6936,10397,ATL,"Atlanta, GA",Georgia,11278,DCA,"Washington, DC",Virginia,830,0,18,848,958,4,1002,-18,0,0,92,70,547,,,,,
43101,WN,203,10397,ATL,"Atlanta, GA",Georgia,11697,FLL,"Fort Lauderdale, FL",Florida,1403,3,12,1415,1553,4,1557,2,0,0,114,98,581,,,,,
43101,WN,530,10397,ATL,"Atlanta, GA",Georgia,11697,FLL,"Fort Lauderdale, FL",Florida,1839,59,9,1848,2020,4,2024,54,0,0,105,92,581,1,0,0,0,53
43101,WN,595,10397,ATL,"Atlanta, GA",Georgia,11697,FLL,"Fort Lauderdale, FL",Florida,2017,-3,22,2039,2210,5,2215,0,0,0,118,91,581,,,,,
43101,WN,1649,10397,ATL,"Atlanta, GA",Georgia,11697,FLL,"Fort Lauderdale, FL",Florida,622,7,12,634,758,3,801,-4,0,0,99,84,581,,,,,
43101,WN,1741,10397,ATL,"Atlanta, GA",Georgia,11697,FLL,"Fort Lauderdale, FL",Florida,1035,0,35,1110,1239,5,1244,14,0,0,129,89,581,,,,,
43101,WN,165,10397,ATL,"Atlanta, GA",Georgia,11996,GSP,"Greer, SC",South Carolina,1026,1,16,1042,1110,3,1113,-7,0,0,47,28,153,,,,,
43101,WN,246,10397,ATL,"Atlanta, GA",Georgia,11996,GSP,"Greer, SC",South Carolina,2249,34,15,2304,2331,4,2335,25,0,0,46,27,153,0,0,0,0,25
